yearID,teamID,total_spend,cumu_sum
1997,ANA,31135472,31.1
1998,ANA,41281000,72.4
1999,ANA,55388166,127.8
2000,ANA,51464167,179.3
2001,ANA,47535167,226.8
2002,ANA,61721667,288.5
2003,ANA,79031667,367.6
2004,ANA,100534667,468.1
1998,ARI,32347000,32.3
1999,ARI,68703999,101.1
2000,ARI,81027833,182.1
2001,ARI,85082999,267.2
2002,ARI,102819999,370.0
2003,ARI,80657000,450.6
2004,ARI,69780750,520.4
2005,ARI,62329166,582.7
2006,ARI,59684226,642.4
2007,ARI,52067546,694.5
2008,ARI,66202712,760.7
2009,ARI,73115666,833.8
2010,ARI,60718166,894.5
2011,ARI,53639833,948.2
2012,ARI,73804833,1022.0
2013,ARI,90132000,1112.1
2014,ARI,97861500,1210.0
1985,ATL,14807000,14.8
1986,ATL,17102786,31.9
1987,ATL,16544560,48.5
1988,ATL,12728174,61.2
1989,ATL,11112334,72.3
1990,ATL,14555501,86.9
1991,ATL,18403500,105.3
1992,ATL,34625333,139.9
1993,ATL,41641417,181.5
1994,ATL,49383513,230.9
1995,ATL,47235445,278.1
1996,ATL,49698500,327.8
1997,ATL,52278500,380.1
1998,ATL,61186000,441.3
1999,ATL,73140000,514.4
2000,ATL,84537836,599.0
2001,ATL,91936166,690.9
2002,ATL,92870367,783.8
2003,ATL,106243667,890.0
2004,ATL,90182500,980.2
2005,ATL,86457302,1066.7
2006,ATL,90156876,1156.8
2007,ATL,87290833,1244.1
2008,ATL,102365683,1346.5
2009,ATL,96726166,1443.2
2010,ATL,84423666,1527.6
2011,ATL,87002692,1614.6
2012,ATL,82829942,1697.5
2013,ATL,87871525,1785.3
2014,ATL,97609000,1882.9
1985,BAL,11560712,11.6
1986,BAL,13001258,24.6
1987,BAL,13900273,38.5
1988,BAL,13532075,52.0
1989,BAL,8275167,60.3
1990,BAL,9680084,69.9
1991,BAL,17519000,87.5
1992,BAL,23780667,111.2
1993,BAL,29096500,140.3
1994,BAL,38849769,179.2
1995,BAL,43942521,223.1
1996,BAL,54490315,277.6
1997,BAL,58516400,336.1
1998,BAL,72355634,408.5
1999,BAL,80605863,489.1
2000,BAL,81447435,570.6
2001,BAL,67599540,638.2
2002,BAL,60493487,698.6
2003,BAL,73877500,772.5
2004,BAL,51623333,824.1
