nameGiven,debut,finalGame,BOD,firstgame_age,lastgame_age,carrer_length
Nicholas,1898-07-14,1933-10-01,1876-9-15,21,57,35
"James Henry",1872-04-26,1904-09-22,1850-9-1,21,54,32
"Saturnino Orestes Armas",1949-04-19,1980-10-05,1925-11-29,23,54,31
"Charles Timothy",1904-04-14,1934-09-30,1875-10-15,28,58,30
"Walter Arlington",1880-07-05,1909-09-30,1860-3-15,20,49,29
"Hugh Ambrose",1891-06-01,1918-09-02,1869-4-2,22,49,27
"James Thomas",1884-06-21,1912-05-18,1863-11-18,20,48,27
"Lynn Nolan",1966-09-11,1993-09-22,1947-1-31,19,46,27
"Charles Evard",1904-09-13,1931-09-20,1882-9-30,21,48,27
"John Joseph",1902-09-01,1929-10-06,1881-7-21,21,48,27
"Adrian Constantine",1871-05-06,1897-10-03,1852-4-17,19,45,26
"Dennis Joseph",1879-06-23,1904-10-04,1858-5-8,21,46,25
Jamie,1986-06-16,2012-05-27,1962-11-18,23,49,25
"Julio Cesar",1982-04-23,2007-09-17,1958-8-23,23,49,25
"Thomas Edward",1963-09-06,1989-05-25,1943-5-22,20,46,25
"William J.",1888-04-20,1912-08-27,1866-10-26,21,45,24
"Rickey Nelson Henley",1979-06-24,2003-09-19,1958-12-25,20,44,24
"Michael Thomas",1978-06-11,2002-09-02,1959-10-8,18,42,24
"John Picus",1909-04-15,1933-07-07,1883-7-1,25,50,24
"Jesse Russell",1979-04-05,2003-09-27,1957-4-21,21,46,24
"Louis Norman",1929-09-11,1953-09-17,1907-8-11,22,46,24
"John Bernard",1889-09-02,1913-10-04,1868-11-12,20,44,24
Early,1939-09-13,1963-09-13,1920-1-6,19,43,24
"Warren Edward",1942-04-19,1965-10-01,1921-4-23,20,44,23
"Paul Frederick",1922-09-02,1945-09-08,1902-10-8,19,42,23
"Roderick John",1894-09-15,1918-09-02,1873-11-4,20,44,23
"Omar Enrique",1989-04-03,2012-10-03,1967-4-24,21,45,23
"Clark Calvin",1891-04-11,1914-10-07,1869-11-20,21,44,23
"James Lee",1959-08-02,1983-07-01,1938-11-7,20,44,23
"Carlton Ernest",1969-09-18,1993-06-22,1947-12-26,21,45,23
"Charles Oliver",1970-08-12,1994-07-26,1948-1-5,22,46,23
"Grover Allen",1911-05-13,1934-09-30,1888-7-2,22,46,23
"John Rikard",1969-09-23,1992-09-27,1949-9-13,20,43,23
