BOD,name,count(nameGiven)
1845-01-31,"Freeman,Robert Vavasour",2
1854-05-04,"Frank Bernard,James Henry",2
1854-10-06,"Francis,Charles N.",2
1855-01-01,"Thomas Edward,William Henry,William A.",3
1855-02-14,"Louis J.,John Joseph",2
1855-08-20,"George Cresse,David P.",2
1855-10-02,"Cyrus Alban,John Robert",2
1856-09-05,"James,John Parkinson",2
1857-03-09,"George R.,Samuel R.",2
1857-10-24,"Edmund Dana,Edward Nagle",2
1858-03-03,"John P.,Harry Eugene",2
1858-04-01,"John,Fred J.",2
1858-06-26,"Dennis J.,Lorenzo Burroughs",2
1858-07-15,"William J.,John Nelson",2
1858-07-18,"George William,Edward T.",2
1858-10-24,"Tobias Charles,William J.",2
1858-11-11,"Charles Anthony,Robert H.",2
1858-11-16,"Benjamin Franklin,Joseph",2
1858-11-20,"Joseph John,Laurence P.",2
1859-08-10,"Lawrence J.,Sidney Douglas",2
1859-10-29,"John,Charles Hercules",2
1860-01-12,"Henry E.,John William",2
1861-02-17,"Joseph A.,George Edward",2
1861-06-28,"Mortimer Martin,William Thomas",2
1861-07-01,"John Gibson,Charles L.,Charles Franklin",3
1861-07-21,"Percival Wheritt,John",2
1861-11-12,"Patrick E.,John Henry",2
1861-12-21,"Conrad,Harry H.",2
1861-12-31,"Walton Hugh,James J.",2
1862-06-18,"Charles William,Howard Carleton",2
1862-09-07,"Michael Joseph,Edward M.",2
1862-11-13,"Peter James,John Garibaldi",2
1863-02-26,"Simeon Henry Jean,Edward",2
1863-03-04,"Allen A.,John George",2
1863-05-10,"James B.,John F.,John Leckie",3
1863-08-10,"William Crawford,George Washington",2
1863-09-01,"George A.,William Darby",2
1863-10-04,"James Nathaniel,William James",2
1863-10-18,"Frank Louis,Walter Robert",2
1864-01-06,"Jacob F.,Andrew Jackson",2
1864-02-18,"John W.,Lawrence Grant",2
1864-03-01,"Henry Francis,Henry",2
1864-03-20,"Peter Robert,Daniel J.",2
1864-03-23,"Charles T.,William H.",2
1864-06-30,"Edwin Forrest,John A.",2
1864-07-02,"Frederick Herbert,Robert James",2
1864-07-10,"Edward J.,James Robert",2
1864-07-26,"John Patrick,William Louis",2
1864-08-24,"Louis Winfred,Belden L.",2
1864-12-25,"Vincent Perry,Joseph J.",2
1864-12-27,"William Robinson,James J.",2
1865-01-13,"John F.,Albert",2
1865-01-27,"William M.,Walter L.",2
1865-03-02,"Jacob Kitchline,Edward",2
1865-03-16,"Grant,Patrick Joseph",2
1865-03-23,"Daniel Webster,William B.",2
1865-05-06,"William,Arthur Franklin",2
1865-07-11,"George Clinton,William Frederick",2
1865-07-19,"James B.,William Franklin",2
1865-08-01,"Edward,Ulysses Franklin",2
1865-08-08,"William Skeen,Julius Henry",2
1865-11-21,"Parke B.,Henry Hugo",2
1866-03-25,"Harry Pratt,Lawrence G.",2
1866-04-04,"Harry Leonard,John H.,William Jeremiah",3
1866-07-13,"John Joseph,Zachary Taylor",2
1866-07-17,"James S.,James Edward",2
1866-08-10,"Ebenezer Ambrose,Herbert Frank",2
1866-08-31,"Arthur Hamilton,Charles Andrew",2
1866-11-22,"Charles H.,Dennis",2
1866-11-26,"Michael J.,Arthur S.,James Edward,Hugh",4
1866-12-10,"John,Frank Harry",2
1867-01-14,"Leven Lawrence,William",2
1867-02-06,"Robert J.,Michael",2
1867-02-09,"John Andrew,Sumner Sallade",2
1867-05-28,"Pearce Nuget,John Michael",2
1867-06-16,"William,Peter James",2
1867-06-29,"John Thomas,Henry Peter,Edward William",3
1867-07-28,"William J.,Charles H.",2
1867-08-27,"Horace Willing,Daniel William",2
1867-09-22,"William Michael,Charles H.",2
1867-10-10,"William Benjamin,Addison Courtney",2
1867-10-26,"William Milton,Parke Asel",2
1867-11-10,"William Moffat,Frederick R.",2
1867-12-17,"Elmer L.,John L.",2
1867-12-23,"John Henry Thomas,John",2
1868-03-10,"Theodore,Lewis W.",2
1868-08-12,"Charles C.,Jeremiah Peter",2
1869-01-01,"John M.,Frank Henry",2
1869-03-09,"John Jacob,Francis Patrick",2
1869-03-22,"Edward Aston White,George W.",2
1869-03-27,"William Avera,Thomas Arthur",2
1869-04-20,"Thomas Jefferson,Samuel Anderson",2
1869-06-01,"Lester Stanley,Theodore P.,William",3
1869-06-24,"John,Kirtley",2
1869-08-20,"Robert Murray,Frank J.",2
1869-09-22,"Henry Edward,Reuben Crandol",2
1869-10-01,"Frank H.,Huyler",2
1869-10-11,"Alexander Shepard,William Henry",2
1869-10-12,"Edward H.,Malachi Jeddidah",2
1869-10-25,"Martin F.,John Joseph",2
1869-11-21,"Alexander Roger,William Frederick",2
1869-12-23,"Michael William,Michael Stephen",2
1870-05-30,"John H.,Charles",2
1870-06-06,"Charles Jacob,August L.",2
1871-03-20,"Joseph Jerome,Paul A.",2
1871-06-06,"James Marcellin,William Alexander",2
1871-06-27,"William Clarence,William Darwin",2
1871-07-14,"Arthur Francis,Walter Edward",2
1871-08-17,"William Hoffman,Charles Edward",2
1871-10-05,"Roger,John Proctor",2
1871-10-24,"George Henry,Louis Francis",2
1871-12-05,"Thomas Edward,Lewis DeWitt,Richard Henry",3
1872-01-09,"George Lewis,Edward Frederick",2
1872-05-10,"Harry Thomas,William Bingham",2
1872-08-15,"Lewis Smith,John Joseph",2
1872-09-25,"Richard Joseph,Frederick William",2
1872-10-22,"Mark Anthony,Wilfred",2
1872-11-07,"William Joseph,Lamont Amos",2
1872-12-09,"Oscar E.,James Bentley",2
1873-01-10,"Charles Sylvester,John Joseph",2
1873-02-20,"Thomas J.,Charles Amos",2
1873-04-18,"Daniel Sebastian,Hugh Joseph",2
1873-11-10,"William Lucas,William Vaness",2
