teamID,right_side,left_side,both_side
NYN,59.6,29.6,10.8
BAL,64.4,27.0,8.6
CAL,61.9,28.8,9.4
CHA,60.2,31.8,8.0
NYA,63.5,27.1,9.4
FLO,63.7,27.0,9.4
OAK,60.6,29.3,10.1
PHI,62.6,29.1,8.2
MIN,63.0,24.1,12.9
SDN,63.2,27.6,9.1
HOU,59.3,28.6,12.0
COL,64.9,26.6,8.5
SEA,61.0,28.5,10.5
TOR,65.4,25.4,9.3
ATL,62.0,30.6,7.4
ML4,60.0,30.0,10.0
CHN,59.4,32.1,8.5
CIN,60.4,29.9,9.6
SLN,63.0,27.2,9.7
CLE,61.2,29.6,9.2
TEX,63.7,25.2,11.1
MON,61.9,26.5,11.5
SFN,63.2,26.0,10.8
DET,62.0,27.4,10.5
ANA,66.4,24.5,9.1
BOS,63.3,27.9,8.8
PIT,65.9,27.5,6.6
LAN,62.3,28.3,9.4
KCA,63.7,27.7,8.6
MIL,64.6,28.8,6.6
NULL,60.9,25.1,5.3
LAA,68.6,20.7,10.7
SFG,55.6,25.9,18.5
ARI,61.4,29.6,9.0
TBA,63.2,28.6,8.1
NYM,66.7,29.2,4.2
WAS,61.3,28.2,10.4
MIA,64.4,28.8,6.8
