decade,avg_weight,pre_weight,weight_diff,avg_height,pre_height,height_diff
1870,159.1600,182.5581,-23.3981,68.5430,71.0814,-2.5384
1880,168.5091,159.1600,9.3491,69.4134,68.5430,0.8704
1890,169.4179,168.5091,0.9088,69.8214,69.4134,0.4080
1900,171.9691,169.4179,2.5512,70.1732,69.8214,0.3518
1910,173.2121,171.9691,1.2430,70.7668,70.1732,0.5936
1920,172.1158,173.2121,-1.0963,70.8279,70.7668,0.0611
1930,175.7217,172.1158,3.6059,71.2144,70.8279,0.3865
1940,180.9615,175.7217,5.2398,71.9113,71.2144,0.6969
1950,182.9171,180.9615,1.9556,72.2267,71.9113,0.3154
1960,185.2498,182.9171,2.3327,72.7022,72.2267,0.4755
1970,186.0000,185.2498,0.7502,72.9436,72.7022,0.2414
1980,187.2865,186.0000,1.2865,73.2570,72.9436,0.3134
1990,189.6000,187.2865,2.3135,73.4298,73.2570,0.1728
2000,199.1709,189.6000,9.5709,73.5747,73.4298,0.1449
2010,208.1419,199.1709,8.9710,73.6510,73.5747,0.0763
